title	content	keyword	category
discrete	discrete	discrete	discrete
			class
AOL Q1 Beats The Street On Sales Of $539M, Comes Even On EPS Of $0.32, As Global Display Inches Up To $140M	AOL (owner of TechCrunch) has  just reported  its Q1 results for the quarter, and it’s a mixed bag, with sales of $539 million, up 2%, beating Wall Street estimates, with diluted earnings per share coming in at $0.32. Analysts were  expecting  revenues of $537.15 million, with First Call’s EPS estimate of EPS at $0.32. Still, Q1′s EPS number is up 45% on the same period a year ago. Net income was up 23% to $25.9 million.Here’s how revenues and profit break down over the last several quarters:This quarter, it looks like AOL’s global display revenues are finally in an upswing, rising 8% over a year ago to $140 million. Subscription revenues, the legacy part of AOL’s business that still includes (yes) revenues from dial-up customers, is still coming in as a bigger part of AOL’s revenues, at $165.8 million. They are slowly on the decline, though, down 9% on a year ago.Last quarter  was a notable one for AOL in that it was the first one in eight years where the company had posted revenue growth, with revenues of $600 million for the three-month period. As with many other online, advertising-based companies, AOL’s revenues for this most recent, post-holiday quarter will be seasonally lower.More interestingly, the company has been working to reposition itself around a couple of key strengths where it can still gain ground, even as Google continues to dominate the online advertising market overall. As eMarketer notes, in AOL’s biggest market, the U.S., its share of online ad spend is in decline, with AOL’s share expected to be 2.3% this year compared to 2.5% in 2012, with Facebook and Google particularly gaining in the display sector where AOL makes most of its revenue. Total display ad spend in the U.S. is projected to be $17.7 billion this year, with AOL taking 3.1% of that, with Google and Facebook taking 17.6% and 15.5% respectively. In this regard, for AOL to make its position as strong as possible in the couple of areas where it can still grow.The first of these involves innovations around ad tech. That has included grouping together all of the company’s online advertising sales and technology assets into a single group, AOL Networks. And last week the strategy got another boost when AOL  signed a deal  with FreeWheel and Mediaocean so that AOL’s online inventory, and specifically its video inventory, can be bundled together with TV ad buys in a multiscreen strategy.The second is a stronger emphasis on rich-media advertising, specifically against premium content that AOL owns itself or has deals to provide advertising for. AOL’s portfolio got a boost early in the quarter with the  acquisition of gdgt , started by two former Engadgeteers (founder Peter Rojas and ex-editor-in-chief Ryan Block).And last week, AOL expanded the amount of content against which it can sell online ads even further with the news that it would be releasing 15 new original video programs, created in a factual, unscripted format that fits with the rest of AOL’s newsy portfolio. However, as it grows in these areas, it’s also continuing to whittle down assets in others, such as its nearly-concurrent decision to shut down  AOL Music .AOL’s own branded content is still lagging behind the company’s subscription revenues (again, these relate mainly to the company’s legacy services) but they are also showing the strongest growth in terms of revenues over a year ago. But if you look at operating income before depreciation and amortization, collectively the Brand Group, along with AOL Networks, are still loss-making, if coming very close to break-even:The third-party advertising business continues to grow for AOL. This quarter revenues for ads distributed on sites not owned by AOL were up 10% to $120.7 million.AOL is a global advertising-supported Web company, with display advertising network in the U.S., a substantial worldwide audience, and a suite of popular Web brands and products.The company’s strategy focuses on increasing the scale and sophistication of its advertising platform and growing the size and engagement of its global online audience through leading products and programming.History of Aol:AOL was founded in the early 1980’s as Control Video Corp, with an online service, Gameline, for the Atari 2600 console.	aol	web
Despite A Staff Shakeup, AOL Ventures Lives On With Co-Founder Jon Brod At The Helm	Fortune  reported earlier today that Mike Brown Jr. and much of the team that ran AOL’s venture funding arm have formed their own VC firm —  Bowery Capital  — that aims to find and fund enterprise-friendly startups. While it’s somewhat heartening to see a new firm set up shop in New York City, there’s another weighty question here that hasn’t been answered yet: now that nearly all of its staff has spun off a new venture fund, what’s going to happen to AOL Ventures?Well, long story short, it’s not going anywhere yet. I spoke to Bowery Capital founder Mike Brown today, and he confirmed that AOL Ventures’ other co-founder/partner Jon Brod would continue to run the show now that Brown is off managing a fund of his own. According to a reputable source with knowledge of the situation, AOL has no plans to give up on its early-stage investment activities, but it’s next step isn’t exactly clear. While that source said that under CEO Tim Armstrong’s leadership AOL would remain connected to the startup world, there’s no firm plan in place for how the company’s venture arm will proceed from here.Meanwhile, an AOL representative provided the following statement:“AOL Ventures, which Mike and I started in 2010, has a high performing portfolio of 27 tech start-ups and remains an important part of AOL,” said President of AOL Ventures Jon Brod, who will continue to oversee the group. “We wish Mike well in his new position and are pleased that he will continue to help manage the AOL Ventures fund.”(Disclosure: AOL acquired TechCrunch back in 2010, but you probably knew that.)While the details on AOL’s future in venture capital are still unclear, that’s definitely not the case for Brown’s Bowery Capital: it’s focused primarily on B2B startups that could strike a chord with a younger generation of CTOs and CMOs. The most prominent  companies in the Bowery portfolio that fit that vision are  Codecademy ,  Sailthru ,  Premise , and Moat, all startups that Brown invested in as an angel. That’s not to say that relationships he and the rest of his team made with AOL Ventures’ portfolio companies have gone up in smoke — of the $33 million in capital that has been committed to Bowery, $30 million came from larger institutional investors (including AOL, as  AllThingsD  points out) with the remaining $3 million being chipped in by “90 percent” of the AOL Ventures portfolio companies Brown was involved with.And Brown is still actively helping out those AOL Venture portfolio companies — the team held a quarterly meetup for those startups’ executives at AOL’s offices in New York earlier today. Unlike the sorts of CEO get-togethers that firms like First Round Capital are known for, the one held today was meant for chief marketing and revenue officers to swap notes and take in talks conducted with leaders from Buzzfeed, Box, and Pandora to name a few.A brief aside: it’s actually a little embarrassing to be covering Bowery’s news like this. The TechCrunch New York team works in the same office as AOL Ventures (well, when we managed to crawl out of our hovels), and as I write this I’m looking at the desk where Bowery Capital general manager/former AOL Ventures chief of staff Keegan Forte used to sit. In case you were wondering, that whole area is covered in BC swag. Not pictured: me facepalming for not catching on any sooner. AOL Ventures is the venture capital arm of AOL, focused on early stage investing in technology-centric internet companies.   The fund operates as a traditional vehicle not dissimilar from an independent VC fund and at it’s core attempts to differentiate by providing a unique product to entrepreneurs looking to partner with a corporate venture investor.  They are primarily interested in giving talented founders the unfair advantage they need to scale quickly and grow great companies and tend...AOL is a global advertising-supported Web company, with display advertising network in the U.S., a substantial worldwide audience, and a suite of popular Web brands and products.The company’s strategy focuses on increasing the scale and sophistication of its advertising platform and growing the size and engagement of its global online audience through leading products and programming.History of Aol:AOL was founded in the early 1980’s as Control Video Corp, with an online service, Gameline, for the Atari 2600 console.	aol	web
AOL’s Video Hat Trick: A Slate Of Original Content, Be On Creative Studio, And A Deal With FreeWheel + Mediaocean For Multiscreen Ad Buys	Online video is booming, and today  AOL  (owner of TechCrunch) unveiled three new initiatives that spell out how it plans to tackle it:  15 original, unscripted shows ; a new creative studio,  Be On , to create branded videos; and a  deal  with  FreeWheel  and  Mediaocean  to add in AOL’s video inventory to its platform, so that media buyers looking for multiscreen investments across TV and online video can include AOL in the mix. The news was unveiled at the company’s 2013 Digital Content NewFront event, the upfront event where AOL presents its strategy for the year ahead to key advertisers and agencies.The slate of content is not AOL’s move into Netflix-style dramas (for now, at least). Instead, it plays on the network of sites that AOL already owns in the news and information space, which also includes other tech sites like Engadget as well as the Huffington Post. Up to now the AOL On network, the video network that AOL launched last year to span all of those sites and more (the videos go to YouTube and elsewhere) has been going pretty strong, with some 8 billion views in 2012. “We think we’ve reached the point at which it makes sense to produce more, to give us a more distinct voice,” Tal Simantov, GM of AOL On said. The list of shows includes “Fatherhood,” centered around Hank Azaria and his experiences as a first-time father; and “City.Ballet”, produced by Sarah Jessica Parker, covering the cut-throat world of the New York City Ballet. A preview of the video content is at the bottom of this post.Simantov wouldn’t say how much AOL is investing in this but says that it will be in the “double-digits, an interesting number.”One reason that AOL is spinning out more content is because of a growing audience for the material, but it is also looking to sell significantly more ads against it. Part of that will be coming from the new Be On studio — this is the company’s branded content business, a creative studio that will partner with advertisers and agencies to produce branded content that combines its goViral acquisition with video distribution across AOL’s own network of sites plus third-party sites like YouTube, and AOL Studios production. The offering includes production, distribution, and analytics to measure how they perform. The move for content companies to move further into video ad production, leveraging their reputation with other content, is part of a wider trend — just yesterday, Vox Media also announced the formation of  Vox Creative , a similar initiative. Today, AOL announced the first customer for its service — Team Roma — the Italian football team that is planning a media assault in an attempt to become the next big international media sports brand, not unlike Manchester United or Real Madrid, both of which make more from their branded goods and selling rights to their games than they do from ticket sales to those events.The third announcement AOL made today for the partnership with FreeWheel and Mediaocean will see AOL tap into the wider market for video ad buys, with ad buyers now able to buy against not just broadcast and pay-TV content, but online video content as well, through a multiscreen ad buying platform being launched by FreeWheel and Mediaocean called FourFronts. Given that the vast majority of ad spend today still goes to areas like television, it’s initiatives like that that will give digital players more of a look in to those budgets. And it’s also a significant move to further defragment the advertising landscape.As Tim Armstrong, the CEO of AOL puts it, it’s also a sign of how the “screen” that people use to consume video is no longer just a TV, and that video is no longer just television.“The device on which consumers view video no longer defines the type of content they’re watching; it’s purely a screen,” he said today. “But until now, buyers have not had an apples-to-apples comparison when it comes to buying video on the Web and TV. The industry needs to adopt standards between traditional broadcasting and video streams on the Web to create more opportunities in the buying market. FourFronts addresses a pressing need in our industry and will place AOL at the forefront of this shifting tide, getting us one step closer to bridging the gap between premium digital video and TV.”Michael O’Connor, global director for business at AOL On, notes that “This will mean that we won’t be seen anymore as segregated buckets.” Since this initiative is just getting announced now, he says that AOL is not yet sharing a target number for how much AOL expects to see going through the platform. “The decision making only starts now,” he says.  AOL is a global advertising-supported Web company, with display advertising network in the U.S., a substantial worldwide audience, and a suite of popular Web brands and products.The company’s strategy focuses on increasing the scale and sophistication of its advertising platform and growing the size and engagement of its global online audience through leading products and programming.History of Aol:AOL was founded in the early 1980’s as Control Video Corp, with an online service, Gameline, for the Atari 2600 console.	aol	web
AOL Is Shutting Down AOL Music And Firing Staff Who Are Live-Tweeting The Bloodbath	While there’s still few details and no official announcement, AOL is shutting down its AOL Music news properties and is firing their employees, according to tweets from the official AOL Music site Spinner’s account and some staff. Poor performance due to competition from independent bloggers may be to blame. However, reports indicate Winamp, SHOUTcast, and flagship music blog Spinner may survive.AOL Music operates a variety of music news websites for different genres, the SHOUTcast Internet radio site, and the historic Winamp player it acquired in 2009 along with Spinner in a $400 million acquisition of Nullsoft.Here’s how the pink slips flew this morning. First, Spinner tweeted: ” @Spinner : All of AOL Music is shutting down. Thank you all for your support. We had such a blast.” However, it appears  that tweet  has since been deleted. You can  see retweets of it here , though.Later, Spinner Editor Dan Reilly tweeted:Well, we all just got laid off. AOL Music is finished.—  Dan Reilly (@danreilly11)  April 26, 2013Then Reilly and several other Spinner employees began essentially live-tweeting the demise of the site they ran:Sitting in an HR meeting right now, trying to negotiate keeping our computers for a few more days.—  Dan Reilly (@danreilly11)  April 26, 2013Well, at least I found a good reason to finish off the whiskey at my desk.—  Dan Reilly (@danreilly11)  April 26, 2013Paul Cantor, the hip-hop editor of Spinner wrote:Just lost my job. Actually I'm in the room losing it right this second, while tweeting. So yeah, hit me with any opportunities.—    (@PaulCantor)  April 26, 2013The AOL Radio gave some official condolences but noted it will stay open:It's a sad day here at @ AOL . We'd like to say goodbye to our colleagues at @ AOLMusic , @ TheBootdotcom , @ Noisecreep , @ Spinner  and @ TheBoombox —  AOL Radio (@AOLRadio)  April 26, 2013For those who are inquiring, @ AOLRadio  will still be around and we will continue to be bringing you the best music experience.—  AOL Radio (@AOLRadio)  April 26, 2013Meanwhile, other music sites such as The Onion’s AV Club are  reaching out  to the several dozen fired employees with job offers or freelance work, and the canned AOL staff seem receptive.Along with music.aol.com, AOL Music runs the site  The Boot  (country music),  Noisecreep  (metal),  Boombox  (hip-hop), and  Tour Tracker  (concert tickets), which presumably are also getting the axe.While Twitter’s new music app happened to launch last week, it’s unlikely it had anything to do with the AOL Music shut down. Instead, it’s likely a reflection of poor performance by the site. When they started over ten years ago, AOL Music and Spinner were some of the only options out there for breaking music news. But as the music blogosphere blossomed, readership likely fractured to different sites with more specific personalities and genre focuses.Well from fellow AOL employees (they own TechCrunch too), we give our hearty condolences to the AOL Music and Spinner staffs. Hope that whiskey helps.Haha. AOL Music is trending on Twitter. Finally figured our social media strategy out!—  Dan Reilly (@danreilly11)  April 26, 2013And thanks to everyone who offered their support today. I'm truly humbled. Now I guess it's time to tie one on.—  Dan Reilly (@danreilly11)  April 26, 2013Update: Perhaps not all is lost, as it seems Reilly has finished his meeting with HR and just tweeted:Maybe you haven't heard the last of Spinner. I don't know. I'm glad I got to post this last interview today   aol.it/11q8EH0 —  Dan Reilly (@danreilly11)  April 26, 2013Meanwhile, music writer J Herskowitz has tweeted:I'm hearing that Winamp/SHOUTcast are still intact.   #aol   #music —  J Herskowitz (@jherskowitz)  April 26, 2013AOL is a global advertising-supported Web company, with display advertising network in the U.S., a substantial worldwide audience, and a suite of popular Web brands and products.The company’s strategy focuses on increasing the scale and sophistication of its advertising platform and growing the size and engagement of its global online audience through leading products and programming.History of Aol:AOL was founded in the early 1980’s as Control Video Corp, with an online service, Gameline, for the Atari 2600 console.	aol	web
Tim Armstrong Defends Aol’s Content Business, Announces New Ad Tool For Publishers	Aol  CEO Tim Armstrong sang the praises of programmatic, automated advertising today during his keynote presentation at  the Ad:Tech conference  in San Francisco, and he announced a new Marketplace tool to help publishers manage their ads. So when Fortune’s Adam Lashinsky took the stage to interview him, he asked: Was it meaningful that Armstrong didn’t talk about Aol’s content and publishing business?After all, Lashinsky pointed out that Aol has made some pretty big investments in content, especially with the acquisition of properties like the Huffington Post and, yes, TechCrunch. Armstrong answered that he still sees content as a big opportunity — he was just tailoring his message to the audience.Indeed, if you look at companies like Amazon, Netflix, Google and Microsoft, it seems like more tech companies are getting into the content business. Armstrong argued that Aol was one of the first online ad companies to “try and jump in and do both sides.”At the same time, Armstrong acknowledged that there does seem to be a shortage of big-name talent in web content and that he’s looking forward to seeing “a lot of the brainpower” moving from offline to online. (I’m not sure what kind of talent he was referring to, so I’ll try not to take that personally.)“If we were to take all the technology people in this room and switched them to content management systems, the opportunity is just as big,” Armstrong added.Continuing on that theme, Lashinsky said that traffic to Aol properties doesn’t seem to be growing. Armstrong said it’s been “a very, very challenging situation” because Aol is trying to “switch the engines while the plane is flying” — there are new properties that are growing, but the company is also saddled with others that are declining or that it has shut down. The good thing, Armstrong said, is that the mix of Aol’s traffic “looks different than it did three years ago,” that “Wall Street has gotten more excited,” and that “we’ve been able to stuff the company with lots of talent.”Lashinsky also asked Armstrong about his earlier statement that if he was making the decision for himself (rather than Aol), he’d be interested in  buying Time Inc . Armstrong said that’s because he’s a big believer in the media brands that Time has built: “People undercut how powerful brands are.”My boss Alexia Tsotsis  really hates that word , but to illustrate his point, Armstrong said that Fortune hosts a successful conference every year based on the magazine’s brand — if Armstrong wanted to start “Tim’s online finance site” and hold his own conference, he said, “I would bet on Fortune more than Tim’s finance.” He also said that Aol is trying to acquire “meaningful” online brands. That was the rationale behind the HuffPo and TechCrunch acquisitions, and he said they’ve led to traffic and revenue that has “exploded.”As for the new Marketplace product, it’s  a supply-side platform  that Aol is pitching as a competitor to Google and as something that completes the company’s ad-tech stack.AOL is a global advertising-supported Web company, with display advertising network in the U.S., a substantial worldwide audience, and a suite of popular Web brands and products.The company’s strategy focuses on increasing the scale and sophistication of its advertising platform and growing the size and engagement of its global online audience through leading products and programming.History of Aol:AOL was founded in the early 1980’s as Control Video Corp, with an online service, Gameline, for the Atari 2600 console. ...Tim Armstrong was appointed CEO and Chairman of AOL in March 2009.Before becoming the CEO of AOL, Armstrong presided over Google’s North American and Latin American advertising sales and operations teams. His team provided customers with local partnerships as well as centralized sales and services. They worked with some of the world’s most widely recognized brands and advertising agencies in addition to some of the fastest growing medium-sized companies.Armstrong joined Google from Snowball.com, where he was vice president of	aol	web
Michael Arrington Is Newest Aol CEO’s Favorite TechCrunch Writer	Much like this  gif,  Aol added another layer of management last week. Aol Brands got its own CEO,  Susan Lyne , to round out the triumvirate of Aol Networks CEO Ned Brody and interim Membership CEO Bud Rosenthal. And, in an impressive sleight of hand, the company also  lost a layer of management , with COO Artie Minson out, perhaps due to Patch’s  less-than-inspiring  performance.Because Aol reorgs are  almost always baffling , Arianna Huffington and HuffPost CEO Jimmy Maymann get to be the bosses of Huffington Post, not answering to Lyne even though HuffPost’s and HuffPost Live’s traffic and revenue will be listed as Brands revenue on Aol earnings reports. Being one of the more recognizable brands, TechCrunch too will get the kid-glove treatment, with Lyne promising we’ll retain editorial independence.“You’ve increased your traffic massively with little or no input from Aol. You don’t need help,” she told me in an interview, above, on her very first day in her new role. And on Arianna in the room? “The Huffington Post has a well-developed plan for growth, including Huff Post Live and more international expansion. There’s lots we can do together, but my time is better spent on areas that are not growing as fast.”What else? Other than there are, as of yet, no plans for a TechCrunch “Swimsuit Issue”? Well, Michael Arrington is her favorite TechCrunch writer. Just wait until she gets  a load of Lawler .AOL is a global advertising-supported Web company, with display advertising network in the U.S., a substantial worldwide audience, and a suite of popular Web brands and products.The company’s strategy focuses on increasing the scale and sophistication of its advertising platform and growing the size and engagement of its global online audience through leading products and programming.History of Aol:AOL was founded in the early 1980’s as Control Video Corp, with an online service, Gameline, for the Atari 2600 console.	aol	web
Aol Confirms Susan Lyne As CEO Of Brand Group, Artie Minson Out As COO Role Goes (Memo)	Aol  today confirmed a couple of big changes at the top of the company, as first reported yesterday by  ourselves ,  Bloomberg  and  AllThingsD . Susan Lyne, the exec who had previously been CEO of  Gilt Groupe  and an Aol board member, is the new CEO of Aol’s Brand Group (including TechCrunch). Meanwhile, Artie Minson is stepping down as COO as the role disappears from the company.As detailed in the memo from CEO Tim Armstrong, Minson is staying for a transition period, working on Aol’s “current and future commerce and subscription strategy and business.”The length of the transition period is not specified. Meanwhile, a spokesperson confirmed that Aol will “not be backfilling the COO role.”The reason for the changes, Armstrong notes, is to match the company’s management structure better with its strategy — a three-pronged business focusing on advertising (Aol Networks), media brands (Aol Brand Group) and subscriptions (Aol Membership). Specifically, he notes that today’s appointment of Lyne marks “more decision making and resources directly into our brands. We have spoken many times of the work we are doing to improve our brands and product and today is another step in unleashing the power of our brands for consumers and customers.” Ned Brody continues to run Aol Networks, with Bud Rosenthal as interim CEO of Aol Membership.Lyne stepped down as CEO of Gilt last year but remained as chairperson. She then transitioned to vice chairperson, and the Aol spokesperson confirmed that she will remain in that role.The Aol spokesperson also confirmed that Lyne is leaving the Aol board as part of the new appointment.Prior to Gilt, Lyne was president and CEO of Martha Stewart Living Omnimedia.Although the brand group includes sites like TechCrunch, Engadget and recent addition gdgt, Huffington Post continues to remain separate and run separately by Arianna Huffington.Apart from the fact that Lyne will already be familiar with the business because of her previous role as a board member, there are signs that there may be a closer relationship across all of Aol’s content operations:Armstrong notes that Aol “will continue the work with Susan on setting up cross-site scale as we grow the content business,” and he adds that “Arianna and Susan have been friends for years and we will spend a lot of time working on deeper strategy for the future of the content business.”Internal memo from CEO Tim Armstrong below.Thank you for all the hard work on the 100 day sprint. The teamwork and alignment of resources is coming together nicely and it looks like there are going to be some exciting outcomes for consumers and customers.One part of the sprint we have been working on is talent and we have announced a series of talented people joining AOL in our major segments of business. Moving to a segmented structure has allowed us to focus deeply on our brands and businesses. Returning to growth after 8 years of not growing is directly related to the talent we have and our ability to move the company into white space areas of opportunity while we improve our core business. Today, we are adding to the talent and focus of the company and I wanted to share some exciting news with you.We are announcing a talent and leadership structure that is aligned with each of our operating units with the goal of increasing the communication flow and cross-segment operating teamwork. The update to our structure matches our strategy and will also put more decision making and resources directly into our brands. We have spoken many times of the work we are doing to improve our brands and product and today is another step in unleashing the power of our brands for consumers and customers.We want to welcome to AOL a world-class talent who is recognized on a global basis for her experience in content, commerce, and leadership. She has been part of Fortune’s Most Powerful Women’s List, she has been the CEO of a publically traded brand, she is the chairman of one of the best women’s commerce businesses on the Internet, and she has been with AOL since the day we re-launched as a public company – as one of our stellar board members. Please help me welcome Susan Lyne, one of the most talented people in our space and someone who will continue to help us raise the talent and growth level at AOL. Susan is not only a world-class talent, she is a world-class person and you will see that as you get to know her. She joins Karen Dykstra, our former board member and current super-star CFO, as a leader who is moving from being a board member to being a full time AOLer. Please welcome Susan, she will be in the office today and you will hear more from her over the next week.Susan will be CEO of the AOL Brand Group, a group that includes some of the Internet’s best brands. She will manage the AOL brand portfolio on a global basis. Susan has been a highly engaged board member and I have leaned on her often during the turn-around and having her join the company is a significant step for AOL. As part of the continued focus on our investment in the Huffington Post, Arianna will continue to report to me and we will continue the work with Susan on setting up cross-site scale as we grow the content business. Arianna and Susan have been friends for years and we will spend a lot of time working on deeper strategy for the future of the content business.The company will be organized with Susan running the AOL Brand Group, Ned Brody running AOL Networks, and Bud Rosenthal, acting as interim CEO of AOL Membership. Susan, Ned, and Bud will report to me and will join Arianna and the other Sales, Technology, Legal, HR, and Communications leaders.Another part of today’s announcement is that we will be restructuring the COO role within the organization. As part of the changes, our talented COO leader, Artie will work directly with me on our current and future commerce and subscription strategy and business. Artie has made meaningful contributions to AOL as part of the executive team and he is at a point in his career where he is looking for his next step and he will be doing that at AOL. Artie’s teamwork on the turnaround of AOL and his ability to look for growth opportunities in AOL’s core business is something we will continue as we look deeper into the subscription area.We are building a company that improves our consumers’ and our customers’ lives. We’re going for world-class products and a creative organization that is backed up by a strong financial backbone. We’re going to do both – grow and strengthen. Please join me in welcoming Susan Lyne and let’s keep up the work that has allowed us to bring AOL back to life – TAImage:  CrunchbaseAOL is a global advertising-supported Web company, with display advertising network in the U.S., a substantial worldwide audience, and a suite of popular Web brands and products.The company’s strategy focuses on increasing the scale and sophistication of its advertising platform and growing the size and engagement of its global online audience through leading products and programming.History of Aol:AOL was founded in the early 1980’s as Control Video Corp, with an online service, Gameline, for the Atari 2600 console. ...Susan Lyne is CEO of AOL’s Brand Group. Lyne was formerly Chief Executive Officer and Chairperson of Gilt Groupe, an ecommerce company whose event-based sales model is changing consumer behavior and redefining luxury shopping. She was also previously a member of AOL’s Board of Directors. From November 2004 to July 2008, Lyne was President and CEO of Martha Stewart Living Omnimedia. In that capacity, she steered the company’s recovery and return to profitability, led by a three-fold increase in	aol	web
AOL Confirms gdgt Acquisition, Quests For tch Domination	AOL  (owner of TechCrunch) today is taking one more step to build out its content empire: it has officially confirmed the acquisition of technology reviews site  gdgt  — first  reported  by TechCrunch nearly two weeks ago. Gdgt itself is  announcing the news on its own site , and a spokesperson from AOL has also confirmed the news to TechCrunch directly.Financial terms of the deal have not been disclosed, but we have heard that the deal was in the high seven figures, and that there was another — higher — offer from another company, but that gdgt’s co-founders,  Ryan Block  and  Peter Rojas , went with AOL because it was a better fit.It seems poetic that the future of a company so deeply embedded in the Internet’s past would hinge upon amassing properties that so vehemently chronicle its future. The deal will see Ryan Block take on a bigger role at AOL, where we have heard from sources that he will become head of product for AOL Tech Media. He will report to Jay Kirsch, and will take some of the learnings, technology and sensibility — and staff — that he and Rojas have brought to gdgt and apply them across AOL’s portfolio of tech sites.In addition to TechCrunch, those sites include  Engadget  (which Rojas founded and Block used to edit),  TUAW  and  Joystiq . In other words, the acquisition will give gdgt much greater scale for its product.With AOL’s tech portfolio heavy on blogs and news, gdgt will be bringing complementary content in the form of a huge database of gadget information, created with the aim of “improving the buying experience,” in the words of Block.The move lets the two founders come full-circle and, for those who ever wondered, provides more color on why they left in the first place.“We didn’t leave Engadget (or AOL) because we were unhappy, we left to do gdgt because at the time it was tough to build something that was clearly not editorial,” Block told me. “That’s obviously changed, and we’re excited to be able to continue to invest in and grow gdgt, while also bringing a lot of the stuff we’ve built to the rest of AOL Tech.”The move is not entirely out of the blue. Peter Rojas — who will stay on running gdgt as well as take on a role as executive editor-at-large at Engadget — notes that gdgt has been  working with Engadget  (and some other publishers, via a WordPress plug-in) via its Databox for about 15 months now. That automatically pulls data from gdgt’s product database into a module at the bottom of posts, similar to how TC pulls in data from Crunchbase.AOL, via  AOL Ventures , had been one of gdgt’s strategic investors prior to this announcement, along with  True Ventures ,  Betaworks ,  Spark Capital ,  Lerer Ventures  and several angel investors. In total it had raised $3.72 million.The move is key for AOL, in that it gives the company another way to bring in traffic to its existing portfolio of news sites, and it also, by way of gdgt itself, increases traffic across the network.And, the fact that gdgt focuses on the buying experience should not go unnoticed. At a time when companies like Facebook and Google are making an effort to derive extra revenue streams from e-commerce to supplement their bread and butter of advertising, it makes sense for relative Internet dinosaur AOL — which last week  reported its first return to revenue growth in eight years  — to explore this area, too.Here is the  official announcement from gdgt :We’ve got some big news: we couldn’t be more excited to announce that gdgt has been acquired by AOL!As you might recall, last year we started a fruitful partnership with the fine folks at Engadget to provide structured product data to their site . We got to talking further and realized that gdgt, its team, its technology, and perhaps most importantly its DNA, were a natural fit for the world-class lineup of tech sites. Well, one thing led to another, and here we are. We honestly couldn’t be more excited about adding gdgt to what is easily the most powerful, influential group of technology media brands in the world.Where we go from here Over the last year, gdgt has only become increasingly more robust and refined, and we’re only getting started. (Related: have you seen all the  great stuff we’ve been doing  lately, like  aggregating video reviews ?)At AOL, gdgt will only continue to grow and evolve as the best premium destination for purchase intelligence, recommendations, user reviews, shopping data, and community-driven content about personal technology. gdgt’s product database (still arguably the best around, in my highly biased opinion), community (ditto), and core technologies will serve as a crucial foundation for all kinds of great new products and services we’ll be building in the coming months.Our event series will also  expand, shall we say , as we pair up with the Engadget team on our 2013 nation-wide tour. Stay tuned for details there, too.What this means for your data As you might expect, over the coming months we’ll be transitioning our operations to our new parent, as well as adopting their  Terms of Service  and  Privacy policy .It should go without saying that we continue to completely respect your personal data and privacy, as we always have. For example, AOL has never asked us to hand data over any user for any untoward uses, so gdgt users’ email addresses aren’t going to wind up on some random mailing list after the dust settles. Makes sense, right? AOL isn’t acquiring gdgt to drive away our users. Nor would we let them.However, we still totally understand if you don’t want your profile data to join us on this new journey. If that’s the case, starting later today (and through March 15th, 2013) just  head over to your account settings  to mark your account profile data for deletion.No action is required, though! If you don’t do anything, your profile will remain intact, and we’ll just keep doing what we do to make gdgt the best possible gadget reviews and community site around. Also, the next time we see you we’ll totally give you a high five.Roll the credits It’s obvious, but we owe this great outcome first and foremost to the amazing team of gdgt employees, each of whom took a chance on us and stuck around to see things through. They know that all this stuff is much harder than it looks, and gdgt simply would not exist if it weren’t for their boundless passion. As founders, Peter and I are extremely grateful for the work they’ve done.It’s also impossible to talk about gdgt’s existence without mentioning the enormous trust and faith placed in us by Tony Conrad at True Ventures, Jason Calacanis, and Mo Koyfman at Spark Capital, and our many other ridiculously smart investors like John Borthwick at Betaworks, David Lee at SV Angel, and Ken Lerer at Lerer Ventures (just to name a few!). I feel like most startups would (and should) consider themselves extraordinarily lucky to get to work with even one of those folks.Finally, we’d like to thank Jay Kirsch, Tim Armstrong, Ned Desmond, Tim Armstrong, Tim Stevens, and all the folks at AOL who believe in our product, our team, and our DNA. We honestly couldn’t think of a finer group of folks to come work with, and we’ve got big plans together. Come watch what happens!AOL is a global advertising-supported Web company, with display advertising network in the U.S., a substantial worldwide audience, and a suite of popular Web brands and products.The company’s strategy focuses on increasing the scale and sophistication of its advertising platform and growing the size and engagement of its global online audience through leading products and programming.History of Aol:AOL was founded in the early 1980’s as Control Video Corp, with an online service, Gameline, for the Atari 2600 console. ...gdgt (parent company: PastFuture) is a consumer electronics site by Peter Rojas and Ryan Block. Rojas was the founding editor of Engadget and Gizmodo and Block was editor-in-chief of Engadget	aol	web
